"age.metadata","genename","measurement","percent"
17,"NTRK3",NA,NA
17,"TUBB3",NA,NA
17,"VIM",NA,NA
18,"FABP7",NA,NA
18,"KIT",NA,NA
18,"PROM1",NA,NA
18,"PECAM1",NA,NA
18,"CD44",NA,NA
18,"PTPRC",NA,NA
18,"CD9",NA,NA
18,"CALCA",NA,NA
18,"MET",NA,NA
18,"GJA1",NA,NA
18,"CUX1",NA,NA
18,"GAD2",NA,NA
18,"GFAP",NA,NA
18,"ISL1",NA,NA
18,"MKI67",NA,NA
18,"MAFA",NA,NA
18,"MAP2",NA,NA
18,"CDH2",NA,NA
18,"NES",NA,NA
18,"RBFOX3",NA,NA
18,"NEUROD1",NA,NA
18,"NEFH",NA,NA
18,"NGFR",NA,NA
18,"PDGFRA",NA,NA
18,"UCHL1",NA,NA
18,"RET",NA,NA
18,"RUNX3",NA,NA
18,"SOX1",NA,NA
18,"SOX10",NA,NA
18,"SOX2",NA,NA
18,"THY1",NA,NA
18,"NTRK1",NA,NA
18,"NTRK2",NA,NA
18,"NTRK3",NA,NA
18,"TUBB3",NA,NA
18,"VIM",NA,NA
20,"FABP7",NA,NA
20,"KIT",NA,NA
20,"PROM1",NA,NA
20,"PECAM1",NA,NA
20,"CD44",NA,NA
20,"PTPRC",NA,NA
20,"CD9",NA,NA
20,"CALCA",NA,NA
20,"MET",NA,NA
20,"GJA1",NA,NA
20,"CUX1",NA,NA
20,"GAD2",NA,NA
20,"GFAP",NA,NA
20,"ISL1",NA,NA
20,"MKI67",NA,NA
20,"MAFA",NA,NA
20,"MAP2",NA,NA
20,"CDH2",NA,NA
20,"NES",NA,NA
20,"RBFOX3",NA,NA
20,"NEUROD1",NA,NA
20,"NEFH",NA,NA
20,"NGFR",NA,NA
20,"PDGFRA",NA,NA
20,"UCHL1",NA,NA
20,"RET",NA,NA
20,"RUNX3",NA,NA
20,"SOX1",NA,NA
20,"SOX10",NA,NA
20,"SOX2",NA,NA
20,"THY1",NA,NA
20,"NTRK1",NA,NA
20,"NTRK2",NA,NA
20,"NTRK3",NA,NA
20,"TUBB3",NA,NA
20,"VIM",NA,NA
21,"FABP7",NA,NA
21,"KIT",NA,NA
21,"PROM1",NA,NA
21,"PECAM1",NA,NA
21,"CD44",NA,NA
21,"PTPRC",NA,NA
21,"CD9",NA,NA
21,"CALCA",NA,NA
21,"MET",NA,NA
21,"GJA1",NA,NA
21,"CUX1",NA,NA
21,"GAD2",NA,NA
21,"GFAP",NA,NA
21,"ISL1",NA,NA
21,"MKI67",NA,NA
21,"MAFA",NA,NA
21,"MAP2",NA,NA
21,"CDH2",NA,NA
21,"NES",NA,NA
21,"RBFOX3",NA,NA
21,"NEUROD1",NA,NA
21,"NEFH",NA,NA
21,"NGFR",NA,NA
21,"PDGFRA",NA,NA
21,"UCHL1",NA,NA
21,"RET",NA,NA
21,"RUNX3",NA,NA
21,"SOX1",NA,NA
21,"SOX10",NA,NA
21,"SOX2",NA,NA
21,"THY1",NA,NA
21,"NTRK1",NA,NA
21,"NTRK2",NA,NA
21,"NTRK3",NA,NA
21,"TUBB3",NA,NA
21,"VIM",NA,NA
22,"FABP7",NA,NA
22,"KIT",NA,NA
22,"PROM1",NA,NA
22,"PECAM1",NA,NA
22,"CD44",NA,NA
22,"PTPRC",NA,NA
22,"CD9",NA,NA
22,"CALCA",NA,NA
22,"MET",NA,NA
22,"GJA1",NA,NA
22,"CUX1",NA,NA
22,"GAD2",NA,NA
22,"GFAP",NA,NA
22,"ISL1",NA,NA
22,"MKI67",NA,NA
22,"MAFA",NA,NA
22,"MAP2",NA,NA
22,"CDH2",NA,NA
22,"NES",NA,NA
22,"RBFOX3",NA,NA
22,"NEUROD1",NA,NA
22,"NEFH",NA,NA
22,"NGFR",NA,NA
22,"PDGFRA",NA,NA
22,"UCHL1",NA,NA
22,"RET",NA,NA
22,"RUNX3",NA,NA
22,"SOX1",NA,NA
22,"SOX10",NA,NA
22,"SOX2",NA,NA
22,"THY1",NA,NA
22,"NTRK1",NA,NA
22,"NTRK2",NA,NA
22,"NTRK3",NA,NA
22,"TUBB3",NA,NA
22,"VIM",NA,NA
23,"FABP7",NA,NA
23,"KIT",NA,NA
23,"PROM1",NA,NA
23,"PECAM1",NA,NA
23,"CD44",NA,NA
23,"PTPRC",NA,NA
23,"CD9",NA,NA
23,"CALCA",NA,NA
23,"MET",NA,NA
23,"GJA1",NA,NA
23,"CUX1",NA,NA
23,"GAD2",NA,NA
23,"GFAP",NA,NA
23,"ISL1",NA,NA
23,"MKI67",NA,NA
23,"MAFA",NA,NA
23,"MAP2",NA,NA
23,"CDH2",NA,NA
23,"NES",NA,NA
23,"RBFOX3",NA,NA
23,"NEUROD1",NA,NA
23,"NEFH",NA,NA
23,"NGFR",NA,NA
23,"PDGFRA",NA,NA
23,"UCHL1",NA,NA
23,"RET",NA,NA
23,"RUNX3",NA,NA
23,"SOX1",NA,NA
23,"SOX10",NA,NA
23,"SOX2",NA,NA
23,"THY1",NA,NA
23,"NTRK1",NA,NA
23,"NTRK2",NA,NA
23,"NTRK3",NA,NA
23,"TUBB3",NA,NA
23,"VIM",NA,NA
